Date Quarter Ended,Quarter,Industry Code,Industry Type,Industry,GDP (millions of current dollars)
06/30/2009,2009Q2,36,Private Industries,Transportation and warehousing,4614
06/30/2009,2009Q2,45,Private Industries,Information,4573
06/30/2009,2009Q2,51,Private Industries,Finance and insurance,13384
06/30/2009,2009Q2,56,Private Industries,Real estate and rental and leasing,14091
06/30/2009,2009Q2,60,Private Industries,"Professional, scientific, and technical services",4065
06/30/2009,2009Q2,64,Private Industries,Management of companies and enterprises,1323
06/30/2009,2009Q2,65,Private Industries,Administrative and waste management services,2829
06/30/2009,2009Q2,69,Private Industries,Educational services,1269
06/30/2009,2009Q2,70,Private Industries,Health care and social assistance,9971
06/30/2009,2009Q2,75,Private Industries,"Arts, entertainment, and recreation",1071
06/30/2009,2009Q2,78,Private Industries,Accommodation and food services,2714
06/30/2009,2009Q2,81,Private Industries,"Other services, except government",3000
06/30/2009,2009Q2,82,Government,Government,17011
09/30/2009,2009Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",6738
09/30/2009,2009Q3,6,Private Industries,Mining,339
09/30/2009,2009Q3,10,Private Industries,Utilities,2760
09/30/2009,2009Q3,11,Private Industries,Construction,5524
09/30/2009,2009Q3,12,Private Industries,Manufacturing,25783
09/30/2009,2009Q3,34,Private Industries,Wholesale trade,7867
09/30/2009,2009Q3,35,Private Industries,Retail trade,7977
09/30/2009,2009Q3,36,Private Industries,Transportation and warehousing,4610
09/30/2009,2009Q3,45,Private Industries,Information,4478
09/30/2009,2009Q3,51,Private Industries,Finance and insurance,13766
09/30/2009,2009Q3,56,Private Industries,Real estate and rental and leasing,14375
09/30/2009,2009Q3,60,Private Industries,"Professional, scientific, and technical services",4097
09/30/2009,2009Q3,64,Private Industries,Management of companies and enterprises,1378
09/30/2009,2009Q3,65,Private Industries,Administrative and waste management services,2802
09/30/2009,2009Q3,69,Private Industries,Educational services,1274
09/30/2009,2009Q3,70,Private Industries,Health care and social assistance,10050
09/30/2009,2009Q3,75,Private Industries,"Arts, entertainment, and recreation",1084
09/30/2009,2009Q3,78,Private Industries,Accommodation and food services,2709
09/30/2009,2009Q3,81,Private Industries,"Other services, except government",3003
09/30/2009,2009Q3,82,Government,Government,17090
12/31/2009,2009Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",8358
12/31/2009,2009Q4,6,Private Industries,Mining,320
12/31/2009,2009Q4,10,Private Industries,Utilities,3053
12/31/2009,2009Q4,11,Private Industries,Construction,5326
12/31/2009,2009Q4,12,Private Industries,Manufacturing,26896
12/31/2009,2009Q4,34,Private Industries,Wholesale trade,8025
12/31/2009,2009Q4,35,Private Industries,Retail trade,8163
12/31/2009,2009Q4,36,Private Industries,Transportation and warehousing,4714
12/31/2009,2009Q4,45,Private Industries,Information,4581
12/31/2009,2009Q4,51,Private Industries,Finance and insurance,13823
12/31/2009,2009Q4,56,Private Industries,Real estate and rental and leasing,14440
12/31/2009,2009Q4,60,Private Industries,"Professional, scientific, and technical services",4072
12/31/2009,2009Q4,64,Private Industries,Management of companies and enterprises,1325
12/31/2009,2009Q4,65,Private Industries,Administrative and waste management services,2824
12/31/2009,2009Q4,69,Private Industries,Educational services,1276
12/31/2009,2009Q4,70,Private Industries,Health care and social assistance,10050
12/31/2009,2009Q4,75,Private Industries,"Arts, entertainment, and recreation",1025
12/31/2009,2009Q4,78,Private Industries,Accommodation and food services,2645
12/31/2009,2009Q4,81,Private Industries,"Other services, except government",2984
12/31/2009,2009Q4,82,Government,Government,17315
03/31/2010,2010Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",6440
03/31/2010,2010Q1,6,Private Industries,Mining,321
03/31/2010,2010Q1,10,Private Industries,Utilities,2690
03/31/2010,2010Q1,11,Private Industries,Construction,5269
03/31/2010,2010Q1,12,Private Industries,Manufacturing,26169
03/31/2010,2010Q1,34,Private Industries,Wholesale trade,8134
03/31/2010,2010Q1,35,Private Industries,Retail trade,8162
03/31/2010,2010Q1,36,Private Industries,Transportation and warehousing,4756
03/31/2010,2010Q1,45,Private Industries,Information,4519
03/31/2010,2010Q1,51,Private Industries,Finance and insurance,13794
03/31/2010,2010Q1,56,Private Industries,Real estate and rental and leasing,14062
03/31/2010,2010Q1,60,Private Industries,"Professional, scientific, and technical services",4129
03/31/2010,2010Q1,64,Private Industries,Management of companies and enterprises,1390
03/31/2010,2010Q1,65,Private Industries,Administrative and waste management services,2954
03/31/2010,2010Q1,69,Private Industries,Educational services,1294
03/31/2010,2010Q1,70,Private Industries,Health care and social assistance,9875
03/31/2010,2010Q1,75,Private Industries,"Arts, entertainment, and recreation",1140
03/31/2010,2010Q1,78,Private Industries,Accommodation and food services,2725
03/31/2010,2010Q1,81,Private Industries,"Other services, except government",2981
03/31/2010,2010Q1,82,Government,Government,17408
06/30/2010,2010Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",7128
06/30/2010,2010Q2,6,Private Industries,Mining,335
06/30/2010,2010Q2,10,Private Industries,Utilities,2809
06/30/2010,2010Q2,11,Private Industries,Construction,5405
06/30/2010,2010Q2,12,Private Industries,Manufacturing,27136
06/30/2010,2010Q2,34,Private Industries,Wholesale trade,8259
06/30/2010,2010Q2,35,Private Industries,Retail trade,8277
06/30/2010,2010Q2,36,Private Industries,Transportation and warehousing,4876
06/30/2010,2010Q2,45,Private Industries,Information,4486
06/30/2010,2010Q2,51,Private Industries,Finance and insurance,13377
06/30/2010,2010Q2,56,Private Industries,Real estate and rental and leasing,14902
06/30/2010,2010Q2,60,Private Industries,"Professional, scientific, and technical services",4133
06/30/2010,2010Q2,64,Private Industries,Management of companies and enterprises,1378
06/30/2010,2010Q2,65,Private Industries,Administrative and waste management services,3059
06/30/2010,2010Q2,69,Private Industries,Educational services,1302
06/30/2010,2010Q2,70,Private Industries,Health care and social assistance,10006
06/30/2010,2010Q2,75,Private Industries,"Arts, entertainment, and recreation",1094
06/30/2010,2010Q2,78,Private Industries,Accommodation and food services,2725
06/30/2010,2010Q2,81,Private Industries,"Other services, except government",3001
06/30/2010,2010Q2,82,Government,Government,17549
09/30/2010,2010Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",7824
09/30/2010,2010Q3,6,Private Industries,Mining,322
09/30/2010,2010Q3,10,Private Industries,Utilities,2956
09/30/2010,2010Q3,11,Private Industries,Construction,5221
09/30/2010,2010Q3,12,Private Industries,Manufacturing,27084
09/30/2010,2010Q3,34,Private Industries,Wholesale trade,8432
09/30/2010,2010Q3,35,Private Industries,Retail trade,8269
09/30/2010,2010Q3,36,Private Industries,Transportation and warehousing,4983
09/30/2010,2010Q3,45,Private Industries,Information,4385
09/30/2010,2010Q3,51,Private Industries,Finance and insurance,13435
09/30/2010,2010Q3,56,Private Industries,Real estate and rental and leasing,15175
09/30/2010,2010Q3,60,Private Industries,"Professional, scientific, and technical services",4232
09/30/2010,2010Q3,64,Private Industries,Management of companies and enterprises,1374
09/30/2010,2010Q3,65,Private Industries,Administrative and waste management services,3087
09/30/2010,2010Q3,69,Private Industries,Educational services,1324
09/30/2010,2010Q3,70,Private Industries,Health care and social assistance,9927
09/30/2010,2010Q3,75,Private Industries,"Arts, entertainment, and recreation",1108
09/30/2010,2010Q3,78,Private Industries,Accommodation and food services,2759
09/30/2010,2010Q3,81,Private Industries,"Other services, except government",3001
09/30/2010,2010Q3,82,Government,Government,17853
12/31/2010,2010Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",7807
12/31/2010,2010Q4,6,Private Industries,Mining,320
12/31/2010,2010Q4,10,Private Industries,Utilities,3041
12/31/2010,2010Q4,11,Private Industries,Construction,5429
12/31/2010,2010Q4,12,Private Industries,Manufacturing,26470
12/31/2010,2010Q4,34,Private Industries,Wholesale trade,8329
12/31/2010,2010Q4,35,Private Industries,Retail trade,8284
12/31/2010,2010Q4,36,Private Industries,Transportation and warehousing,5073
12/31/2010,2010Q4,45,Private Industries,Information,4453
12/31/2010,2010Q4,51,Private Industries,Finance and insurance,14745
12/31/2010,2010Q4,56,Private Industries,Real estate and rental and leasing,15884
12/31/2010,2010Q4,60,Private Industries,"Professional, scientific, and technical services",4239
12/31/2010,2010Q4,64,Private Industries,Management of companies and enterprises,1346
12/31/2010,2010Q4,65,Private Industries,Administrative and waste management services,3160
12/31/2010,2010Q4,69,Private Industries,Educational services,1318
12/31/2010,2010Q4,70,Private Industries,Health care and social assistance,10089
12/31/2010,2010Q4,75,Private Industries,"Arts, entertainment, and recreation",1097
12/31/2010,2010Q4,78,Private Industries,Accommodation and food services,2741
12/31/2010,2010Q4,81,Private Industries,"Other services, except government",3033
12/31/2010,2010Q4,82,Government,Government,17726
03/31/2011,2011Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",12870
03/31/2011,2011Q1,6,Private Industries,Mining,282
03/31/2011,2011Q1,10,Private Industries,Utilities,2320
03/31/2011,2011Q1,11,Private Industries,Construction,5231
03/31/2011,2011Q1,12,Private Industries,Manufacturing,25127
03/31/2011,2011Q1,34,Private Industries,Wholesale trade,8416
03/31/2011,2011Q1,35,Private Industries,Retail trade,8326
03/31/2011,2011Q1,36,Private Industries,Transportation and warehousing,4925
03/31/2011,2011Q1,45,Private Industries,Information,4187
03/31/2011,2011Q1,51,Private Industries,Finance and insurance,13793
03/31/2011,2011Q1,56,Private Industries,Real estate and rental and leasing,15454
03/31/2011,2011Q1,60,Private Industries,"Professional, scientific, and technical services",4327
03/31/2011,2011Q1,64,Private Industries,Management of companies and enterprises,1480
03/31/2011,2011Q1,65,Private Industries,Administrative and waste management services,3056
03/31/2011,2011Q1,69,Private Industries,Educational services,1328
03/31/2011,2011Q1,70,Private Industries,Health care and social assistance,9969
03/31/2011,2011Q1,75,Private Industries,"Arts, entertainment, and recreation",1142
03/31/2011,2011Q1,78,Private Industries,Accommodation and food services,2839
03/31/2011,2011Q1,81,Private Industries,"Other services, except government",3000
03/31/2011,2011Q1,82,Government,Government,17582
06/30/2011,2011Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",11391
06/30/2011,2011Q2,6,Private Industries,Mining,326
06/30/2011,2011Q2,10,Private Industries,Utilities,2606
06/30/2011,2011Q2,11,Private Industries,Construction,5540
06/30/2011,2011Q2,12,Private Industries,Manufacturing,25511
06/30/2011,2011Q2,34,Private Industries,Wholesale trade,8512
06/30/2011,2011Q2,35,Private Industries,Retail trade,8327
06/30/2011,2011Q2,36,Private Industries,Transportation and warehousing,5026
06/30/2011,2011Q2,45,Private Industries,Information,4353
06/30/2011,2011Q2,51,Private Industries,Finance and insurance,14676
06/30/2011,2011Q2,56,Private Industries,Real estate and rental and leasing,15233
06/30/2011,2011Q2,60,Private Industries,"Professional, scientific, and technical services",4340
06/30/2011,2011Q2,64,Private Industries,Management of companies and enterprises,1510
06/30/2011,2011Q2,65,Private Industries,Administrative and waste management services,3082
06/30/2011,2011Q2,69,Private Industries,Educational services,1312
06/30/2011,2011Q2,70,Private Industries,Health care and social assistance,10188
06/30/2011,2011Q2,75,Private Industries,"Arts, entertainment, and recreation",1164
06/30/2011,2011Q2,78,Private Industries,Accommodation and food services,2878
06/30/2011,2011Q2,81,Private Industries,"Other services, except government",3027
06/30/2011,2011Q2,82,Government,Government,17529
09/30/2011,2011Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",11678
09/30/2011,2011Q3,6,Private Industries,Mining,325
09/30/2011,2011Q3,10,Private Industries,Utilities,2695
09/30/2011,2011Q3,11,Private Industries,Construction,5827
09/30/2011,2011Q3,12,Private Industries,Manufacturing,25937
09/30/2011,2011Q3,34,Private Industries,Wholesale trade,8588
09/30/2011,2011Q3,35,Private Industries,Retail trade,8473
09/30/2011,2011Q3,36,Private Industries,Transportation and warehousing,5078
09/30/2011,2011Q3,45,Private Industries,Information,4285
09/30/2011,2011Q3,51,Private Industries,Finance and insurance,15309
09/30/2011,2011Q3,56,Private Industries,Real estate and rental and leasing,16093
09/30/2011,2011Q3,60,Private Industries,"Professional, scientific, and technical services",4391
09/30/2011,2011Q3,64,Private Industries,Management of companies and enterprises,1519
09/30/2011,2011Q3,65,Private Industries,Administrative and waste management services,3143
09/30/2011,2011Q3,69,Private Industries,Educational services,1339
09/30/2011,2011Q3,70,Private Industries,Health care and social assistance,10204
09/30/2011,2011Q3,75,Private Industries,"Arts, entertainment, and recreation",1076
09/30/2011,2011Q3,78,Private Industries,Accommodation and food services,2888
09/30/2011,2011Q3,81,Private Industries,"Other services, except government",3058
09/30/2011,2011Q3,82,Government,Government,17885
12/31/2011,2011Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",11980
12/31/2011,2011Q4,6,Private Industries,Mining,372
12/31/2011,2011Q4,10,Private Industries,Utilities,2675
12/31/2011,2011Q4,11,Private Industries,Construction,5987
12/31/2011,2011Q4,12,Private Industries,Manufacturing,27252
12/31/2011,2011Q4,34,Private Industries,Wholesale trade,9015
12/31/2011,2011Q4,35,Private Industries,Retail trade,8651
12/31/2011,2011Q4,36,Private Industries,Transportation and warehousing,5193
12/31/2011,2011Q4,45,Private Industries,Information,4490
12/31/2011,2011Q4,51,Private Industries,Finance and insurance,15735
12/31/2011,2011Q4,56,Private Industries,Real estate and rental and leasing,16034
12/31/2011,2011Q4,60,Private Industries,"Professional, scientific, and technical services",4481
12/31/2011,2011Q4,64,Private Industries,Management of companies and enterprises,1574
12/31/2011,2011Q4,65,Private Industries,Administrative and waste management services,3156
12/31/2011,2011Q4,69,Private Industries,Educational services,1338
12/31/2011,2011Q4,70,Private Industries,Health care and social assistance,10422
12/31/2011,2011Q4,75,Private Industries,"Arts, entertainment, and recreation",1124
12/31/2011,2011Q4,78,Private Industries,Accommodation and food services,2976
12/31/2011,2011Q4,81,Private Industries,"Other services, except government",3067
12/31/2011,2011Q4,82,Government,Government,17877
03/31/2012,2012Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",10332
03/31/2012,2012Q1,6,Private Industries,Mining,411
03/31/2012,2012Q1,10,Private Industries,Utilities,2550
03/31/2012,2012Q1,11,Private Industries,Construction,6024
03/31/2012,2012Q1,12,Private Industries,Manufacturing,28726
03/31/2012,2012Q1,34,Private Industries,Wholesale trade,9279
03/31/2012,2012Q1,35,Private Industries,Retail trade,8746
03/31/2012,2012Q1,36,Private Industries,Transportation and warehousing,5212
03/31/2012,2012Q1,45,Private Industries,Information,4120
03/31/2012,2012Q1,51,Private Industries,Finance and insurance,17098
03/31/2012,2012Q1,56,Private Industries,Real estate and rental and leasing,16297
03/31/2012,2012Q1,60,Private Industries,"Professional, scientific, and technical services",4593
03/31/2012,2012Q1,64,Private Industries,Management of companies and enterprises,1650
03/31/2012,2012Q1,65,Private Industries,Administrative and waste management services,3287
03/31/2012,2012Q1,69,Private Industries,Educational services,1348
03/31/2012,2012Q1,70,Private Industries,Health care and social assistance,10529
03/31/2012,2012Q1,75,Private Industries,"Arts, entertainment, and recreation",1176
03/31/2012,2012Q1,78,Private Industries,Accommodation and food services,3055
03/31/2012,2012Q1,81,Private Industries,"Other services, except government",3181
03/31/2012,2012Q1,82,Government,Government,17884
06/30/2012,2012Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",11366
06/30/2012,2012Q2,6,Private Industries,Mining,422
06/30/2012,2012Q2,10,Private Industries,Utilities,2519
06/30/2012,2012Q2,11,Private Industries,Construction,6263
06/30/2012,2012Q2,12,Private Industries,Manufacturing,30108
06/30/2012,2012Q2,34,Private Industries,Wholesale trade,9320
06/30/2012,2012Q2,35,Private Industries,Retail trade,8878
06/30/2012,2012Q2,36,Private Industries,Transportation and warehousing,5321
06/30/2012,2012Q2,45,Private Industries,Information,4119
06/30/2012,2012Q2,51,Private Industries,Finance and insurance,17030
06/30/2012,2012Q2,56,Private Industries,Real estate and rental and leasing,16583
06/30/2012,2012Q2,60,Private Industries,"Professional, scientific, and technical services",4687
06/30/2012,2012Q2,64,Private Industries,Management of companies and enterprises,1708
06/30/2012,2012Q2,65,Private Industries,Administrative and waste management services,3306
06/30/2012,2012Q2,69,Private Industries,Educational services,1375
06/30/2012,2012Q2,70,Private Industries,Health care and social assistance,10693
06/30/2012,2012Q2,75,Private Industries,"Arts, entertainment, and recreation",1129
06/30/2012,2012Q2,78,Private Industries,Accommodation and food services,3161
06/30/2012,2012Q2,81,Private Industries,"Other services, except government",3201
06/30/2012,2012Q2,82,Government,Government,18259
09/30/2012,2012Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",10355
09/30/2012,2012Q3,6,Private Industries,Mining,409
09/30/2012,2012Q3,10,Private Industries,Utilities,2656
09/30/2012,2012Q3,11,Private Industries,Construction,6170
09/30/2012,2012Q3,12,Private Industries,Manufacturing,30332
09/30/2012,2012Q3,34,Private Industries,Wholesale trade,9402
09/30/2012,2012Q3,35,Private Industries,Retail trade,8912
09/30/2012,2012Q3,36,Private Industries,Transportation and warehousing,5298
09/30/2012,2012Q3,45,Private Industries,Information,4140
09/30/2012,2012Q3,51,Private Industries,Finance and insurance,17950
09/30/2012,2012Q3,56,Private Industries,Real estate and rental and leasing,16152
09/30/2012,2012Q3,60,Private Industries,"Professional, scientific, and technical services",4727
09/30/2012,2012Q3,64,Private Industries,Management of companies and enterprises,1733
09/30/2012,2012Q3,65,Private Industries,Administrative and waste management services,3325
09/30/2012,2012Q3,69,Private Industries,Educational services,1365
09/30/2012,2012Q3,70,Private Industries,Health care and social assistance,10767
09/30/2012,2012Q3,75,Private Industries,"Arts, entertainment, and recreation",1113
09/30/2012,2012Q3,78,Private Industries,Accommodation and food services,3198
09/30/2012,2012Q3,81,Private Industries,"Other services, except government",3256
09/30/2012,2012Q3,82,Government,Government,18332
12/31/2012,2012Q4,3,Private Industries,"Agriculture, forestry, fishing, and hunting",11383
12/31/2012,2012Q4,6,Private Industries,Mining,394
12/31/2012,2012Q4,10,Private Industries,Utilities,2829
12/31/2012,2012Q4,11,Private Industries,Construction,6247
12/31/2012,2012Q4,12,Private Industries,Manufacturing,29408
12/31/2012,2012Q4,34,Private Industries,Wholesale trade,9338
12/31/2012,2012Q4,35,Private Industries,Retail trade,8929
12/31/2012,2012Q4,36,Private Industries,Transportation and warehousing,5327
12/31/2012,2012Q4,45,Private Industries,Information,3925
12/31/2012,2012Q4,51,Private Industries,Finance and insurance,16715
12/31/2012,2012Q4,56,Private Industries,Real estate and rental and leasing,15718
12/31/2012,2012Q4,60,Private Industries,"Professional, scientific, and technical services",4753
12/31/2012,2012Q4,64,Private Industries,Management of companies and enterprises,1947
12/31/2012,2012Q4,65,Private Industries,Administrative and waste management services,3294
12/31/2012,2012Q4,69,Private Industries,Educational services,1368
12/31/2012,2012Q4,70,Private Industries,Health care and social assistance,10827
12/31/2012,2012Q4,75,Private Industries,"Arts, entertainment, and recreation",1115
12/31/2012,2012Q4,78,Private Industries,Accommodation and food services,3242
12/31/2012,2012Q4,81,Private Industries,"Other services, except government",3265
12/31/2012,2012Q4,82,Government,Government,18422
03/31/2013,2013Q1,3,Private Industries,"Agriculture, forestry, fishing, and hunting",14366
03/31/2013,2013Q1,6,Private Industries,Mining,379
03/31/2013,2013Q1,10,Private Industries,Utilities,2682
03/31/2013,2013Q1,11,Private Industries,Construction,6254
03/31/2013,2013Q1,12,Private Industries,Manufacturing,30084
03/31/2013,2013Q1,34,Private Industries,Wholesale trade,9708
03/31/2013,2013Q1,35,Private Industries,Retail trade,8891
03/31/2013,2013Q1,36,Private Industries,Transportation and warehousing,5374
03/31/2013,2013Q1,45,Private Industries,Information,4153
03/31/2013,2013Q1,51,Private Industries,Finance and insurance,15803
03/31/2013,2013Q1,56,Private Industries,Real estate and rental and leasing,16976
03/31/2013,2013Q1,60,Private Industries,"Professional, scientific, and technical services",4737
03/31/2013,2013Q1,64,Private Industries,Management of companies and enterprises,1695
03/31/2013,2013Q1,65,Private Industries,Administrative and waste management services,3372
03/31/2013,2013Q1,69,Private Industries,Educational services,1343
03/31/2013,2013Q1,70,Private Industries,Health care and social assistance,10873
03/31/2013,2013Q1,75,Private Industries,"Arts, entertainment, and recreation",1035
03/31/2013,2013Q1,78,Private Industries,Accommodation and food services,3422
03/31/2013,2013Q1,81,Private Industries,"Other services, except government",3248
03/31/2013,2013Q1,82,Government,Government,18528
06/30/2013,2013Q2,3,Private Industries,"Agriculture, forestry, fishing, and hunting",13711
06/30/2013,2013Q2,6,Private Industries,Mining,351
06/30/2013,2013Q2,10,Private Industries,Utilities,2711
06/30/2013,2013Q2,11,Private Industries,Construction,6262
06/30/2013,2013Q2,12,Private Industries,Manufacturing,29129
06/30/2013,2013Q2,34,Private Industries,Wholesale trade,9620
06/30/2013,2013Q2,35,Private Industries,Retail trade,8806
06/30/2013,2013Q2,36,Private Industries,Transportation and warehousing,5342
06/30/2013,2013Q2,45,Private Industries,Information,4106
06/30/2013,2013Q2,51,Private Industries,Finance and insurance,15554
06/30/2013,2013Q2,56,Private Industries,Real estate and rental and leasing,16218
06/30/2013,2013Q2,60,Private Industries,"Professional, scientific, and technical services",4812
06/30/2013,2013Q2,64,Private Industries,Management of companies and enterprises,1766
06/30/2013,2013Q2,65,Private Industries,Administrative and waste management services,3355
06/30/2013,2013Q2,69,Private Industries,Educational services,1364
06/30/2013,2013Q2,70,Private Industries,Health care and social assistance,10803
06/30/2013,2013Q2,75,Private Industries,"Arts, entertainment, and recreation",1077
06/30/2013,2013Q2,78,Private Industries,Accommodation and food services,3415
06/30/2013,2013Q2,81,Private Industries,"Other services, except government",3242
06/30/2013,2013Q2,82,Government,Government,18632
09/30/2013,2013Q3,3,Private Industries,"Agriculture, forestry, fishing, and hunting",13373
09/30/2013,2013Q3,6,Private Industries,Mining,359
09/30/2013,2013Q3,10,Private Industries,Utilities,2664
09/30/2013,2013Q3,11,Private Industries,Construction,6617
09/30/2013,2013Q3,12,Private Industries,Manufacturing,29150
09/30/2013,2013Q3,34,Private Industries,Wholesale trade,9826
09/30/2013,2013Q3,35,Private Industries,Retail trade,8941
09/30/2013,2013Q3,36,Private Industries,Transportation and warehousing,5380
09/30/2013,2013Q3,45,Private Industries,Information,4160
09/30/2013,2013Q3,51,Private Industries,Finance and insurance,16055
09/30/2013,2013Q3,56,Private Industries,Real estate and rental and leasing,16629
09/30/2013,2013Q3,60,Private Industries,"Professional, scientific, and technical services",4870
09/30/2013,2013Q3,64,Private Industries,Management of companies and enterprises,1833
